Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
4/13/22,21:00 (15:00),Champions Lg,Quarter-finals,Wed,Away,D,0,0,es Atlético Madrid,1.2,0.8,59,65675,İlkay Gündoğan,4/3/03,Daniel Siebert,Match Report,Leg 2 of 2; Manchester City won
4/16/22,15:30 (10:30),FA Cup,Semi-finals,Sat,Home,L,2,3,Liverpool,,,49,73793,Fernandinho,4/3/03,Michael Oliver,Match Report,
4/20/22,20:00 (15:00),Premier League,Matchweek 30,Wed,Home,W,3,0,Brighton,1.6,0.2,65,52226,İlkay Gündoğan,4/3/03,Mike Dean,Match Report,
4/23/22,15:00 (10:00),Premier League,Matchweek 34,Sat,Home,W,5,1,Watford,3.9,0.4,73,53013,Fernandinho,4-2-3-1,Kevin Friend,Match Report,
4/26/22,20:00 (15:00),Champions Lg,Semi-finals,Tue,Home,W,4,3,es Real Madrid,2.7,1.6,59,52217,Rúben Dias,4/3/03,István Kovács,Match Report,Leg 1 of 2
4/30/22,17:30 (12:30),Premier League,Matchweek 35,Sat,Away,W,4,0,Leeds United,2.5,1.3,58,35771,İlkay Gündoğan,4-2-3-1,Paul Tierney,Match Report,
5/4/22,21:00 (15:00),Champions Lg,Semi-finals,Wed,Away,L,1,3,es Real Madrid,1.4,2.3,55,61416,Rúben Dias,4/3/03,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
5/8/22,16:30 (11:30),Premier League,Matchweek 36,Sun,Home,W,5,0,Newcastle Utd,3.3,0.8,71,53336,İlkay Gündoğan,4-2-3-1,Stuart Attwell,Match Report,
5/11/22,20:15 (15:15),Premier League,Matchweek 33,Wed,Away,W,5,1,Wolves,2.8,0.5,66,32000,Fernandinho,4-2-3-1,Martin Atkinson,Match Report,
5/15/22,14:00 (09:00),Premier League,Matchweek 37,Sun,Away,D,2,2,West Ham,2.9,1.8,78,59972,Fernandinho,4/3/03,Anthony Taylor,Match Report,
5/22/22,16:00 (11:00),Premier League,Matchweek 38,Sun,Home,W,3,2,Aston Villa,3.7,0.3,71,53395,Fernandinho,4/3/03,Michael Oliver,Match Report,
